Category,Description,Registered Date,Asking $,COE Expiry
10FT DIESEL,Hino Dutro 150MT,15/01/2026,$130000,14/01/2036
10FT DIESEL,Hino Dutro 150MT,30/12/2025,$123800,29/12/2035
10FT DIESEL,Toyota Dyna 150 5MT,20/10/2022,$89800,19/10/2032
10FT DIESEL,Toyota Dyna 150 5MT,30/09/2022,$89800,29/09/2032
10FT DIESEL,Toyota Dyna 150 6AT,28/01/2022,$81800,27/01/2032
10FT DIESEL,Toyota Dyna 150MT,26/01/2021,$79800,25/01/2031
10FT DIESEL,Toyota Dyna 150MT,11/10/2020,$75800,10/10/2030
10FT DIESEL,Nissan Cabstar,29/11/2017,$23800,28/11/2027
10FT DIESEL,Isuzu NJR88 Auto,20/12/2021,$67800,19/12/2031
10FT DIESEL,Mitsubishi FEA01 Auto,16/04/2021,$60800,15/04/2031
10FT DIESEL,Mitsubishi FEA01 MT,21/08/2020,$58800,20/08/2030
14FT DIESEL,Hino XZU710 MT,20/01/2016,$51800,19/01/2031
14FT DIESEL,Mitsubishi FEB21 MT,20/04/2021,$68800,19/04/2031
14FT DIESEL,Isuzu NPR85 MT,29/06/2022,$91800,28/06/2032
14FT DIESEL,Isuzu NNR85 MT,27/09/2022,$93800,26/09/2032
VAN DIESEL (GOODS VAN),Toyota Hiace 2.8A,18/02/2021,$77800,17/02/2031
VAN DIESEL (GOODS VAN),Toyota Hiace 3.0M,14/02/2020,$57800,13/02/2030
VAN DIESEL (GOODS VAN),Toyota Hiace 2.8A,26/10/2018,$46800,25/10/2028
VAN DIESEL (GOODS VAN),Nissan NV200 1.5M,18/01/2019,$30800,17/01/2029
VAN PETROL (GOODS VAN),Honda N-Van,20/12/2024,$84800,19/12/2034
VAN PETROL (GOODS VAN),Honda N-Van,29/08/2024,$82800,28/08/2034
VAN PETROL (GOODS VAN),Toyota Hiace 2.0A,26/08/2021,$66800,25/08/2031
VAN PETROL (GOODS VAN),Nissan NV200 1.6A,07/04/2021,$56800,06/04/2031
VAN PETROL (GOODS VAN),Nissan NV200 1.6A,04/10/2020,$52800,06/10/2030
